得点,タイトル,セレクトブクマ,ブックマーク数順,Google
8,Yahoo!映画 - 映画情報,,,1
7,TOHOシネマズ,,,7
7,ワーナー・マイカル・シネマズ－映画館、映画情報、上映スケジュール ...,,,8
6,映画、映画館検索 - TSUTAYA online,,,16
6,【2ch】ニュー速クオリティ:観るまでバカにしてたのに観たら面白かった映画,,27,
6,allcinema ONLINE 映画データベース,4,4,12
5,映画情報 - goo 映画,,,2
5,シネマぴあ,,,26
5,あの映画のココがわからない　まとめサイト,3,3,
5,109シネマズ公式ホームページ,,,24
5,映画・DVDと映画館の上映時間を完全網羅 | Movie Walker,,,3
4,@nifty映画 - 映画情報,,,27
4,【2ch】ニュー速クオリティ:一生のうちに一度は見ておくべき映画,,11,
4,もっと知られていい映画:アルファルファモザイク,,14,
4,★前田有一の超映画批評★,1,1,25
4,みんなのシネマレビュー,2,2,
4,シネマスクランブル 映画予告編・映画ランキング・映画上映 ...,,,13
4,映画ならGyaO! 【映画】 無料映画の映像視聴｜GyaO![ギャオ]映画,,,30
4,eiga.com,9,18,4
4,著作権の切れた過去の名作映画やドキュメンタリーをダウンロード - GIGAZINE,27,,
4,映画館・シネコンの【ムービックス-MOVIX】,,,11
4,痛いニュース(ﾉ∀`):大人が選ぶ泣ける洋画ベスト30　1位「タイタニック」、2位「アルマゲドン」,,28,
4,映画、ビデオ - Yahoo!カテゴリ,,,17
3,映画「サマーウォーズ」公式サイト,,,5
3,新作映画情報「ぴあ映画生活」,,,10
3,時をかける少女,12,,
3,無料映画館,,,28
2,The Internet Movie Database (IMDb),11,,
2,映画・映画館・試写会 | ウーマンエキサイト シネマ(映画),,,20
2,flowerwild.net − 蓮實重彦インタビュー──リアルタイム批評のすすめvol.1,25,,
2,404 Blog Not Found:アマとプロとが選んだディストピア映画歴代トップ26 - 1,28,10,
2,『アバター』は映画の未来にiPhone登場なみの衝撃を与える,,,19
2,映画 | WOWOWオンライン,,,29
2,映画生活 - 新作映画情報,,,17
2,Yahoo! JAPAN - 秒速5センチメートル,19,,
1,どうしてハリウッド映画は予算に何百億円もかけられるのか？ - GIGAZINE,29,15,
1,破壊屋_2007年の映画の感想_恋空,13,24,
1,映画・DVDと映画館の上映時間を完全網羅 | Movie Walker,,,3
1,東宝WEB SITE,,,22
1,チネチッタ【川崎・映画館】公式サイト,,,14
1,X51.ORG : 脳性マヒの殺人鬼 — 『おそいひと』主演・住田雅清インタビュー,16,,
1,映画『さくらん』公式サイト,21,,
1,大ブーイング！ぐだぐだ最終回「JIN」映画化？TBS意外な反応 ...,,,9
1,日本映画のガラパゴス化、インフェルノ鎖国 - 俺の邪悪なメモ,,,21
150,,,,
